Nome;Categoria;Kcal_per_100g
Carne di maiale (in media, senza interiora, cotoletta, stinco), cruda;Carne e frattaglie/Maiale;160
Cordon bleu di maiale, preparato;Carne e frattaglie/Maiale;241
Cordon bleu di vitello, preparato;Carne e frattaglie/Vitello;234
Carne (in media, senza interiora), cruda;Carne e frattaglie;146
Brodo di carne preparato;Cibi/Brodi e zuppe;5
Brodo di pollo preparato;Cibi/Brodi e zuppe;5
Brodo di verdura, preparato;Cibi/Brodi e zuppe;6
Minestrone;Cibi/Brodi e zuppe;53
Aceto;Diversi/Sale, spezie e aromi;22
Aceto balsamico;Diversi/Sale, spezie e aromi;128
Hummus;Diversi/Salse;204
Ketchup;Diversi/Salse;117
Pesto verde;Diversi/Salse;430
Ragù alla bolognese;Diversi/Salse;96
Salsa di soia;Diversi/Salse;56
Senape;Diversi/Salse;124
Bombolone farcito;Dolciumi/Altre pasticceri dolci;336
Panettone;Dolciumi/Altre pasticceri dolci;354
Cioccolato al latte;Dolciumi/Cioccolato e prodotti a base di cacao;537
Cioccolato, bianco;Dolciumi/Cioccolato e prodotti a base di cacao;567
Cioccolato, nero (amaro);Dolciumi/Cioccolato e prodotti a base di cacao;537
Cacao in polvere;Dolciumi/Cioccolato e prodotti a base di cacao;419
Cioccolato in polvere;Dolciumi/Cioccolato e prodotti a base di cacao;398
Marmellata;Dolciumi/Confettura e prodotti dolci da spalmare sul pane;246
Melassa, sciroppo di melassa;Dolciumi/Confettura e prodotti dolci da spalmare sul pane;274
Miele (miele di fiori);Dolciumi/Confettura e prodotti dolci da spalmare sul pane;306
Lemon Curd;Dolciumi/Creme e budini;320
Zucchero bianco;Dolciumi/Zuccheri ed edulcoranti;400
Albicocca, cruda;Frutta/Frutta fresca;48
Ananas, crudo;Frutta/Frutta fresca;52
Anguria, cruda;Frutta/Frutta fresca;31
Bacche (in media), crude;Frutta/Frutta fresca;42
Banana, cruda;Frutta/Frutta fresca;95
Cachi, crudo;Frutta/Frutta fresca;71
Ciliegie, crude;Frutta/Frutta fresca;74
Fico, crudo;Frutta/Frutta fresca;74
Fragola, cruda;Frutta/Frutta fresca;40
Kiwi, crudo;Frutta/Frutta fresca;54
Lampone, crudo;Frutta/Frutta fresca;52
Mandarino, crudo;Frutta/Frutta fresca;47
Mango, crudo;Frutta/Frutta fresca;62
Mela, cruda;Frutta/Frutta fresca;55
Melone, crudo;Frutta/Frutta fresca;38
Mirtillo, crudo;Frutta/Frutta fresca;58
Mora, cruda;Frutta/Frutta fresca;44
Pera, cruda;Frutta/Frutta fresca;58
Pesca noce, cruda;Frutta/Frutta fresca;51
Pesca, cruda;Frutta/Frutta fresca;48
Prugna, cruda;Frutta/Frutta fresca;48
Prugne susine, crude;Frutta/Frutta fresca;43
Uva, cruda;Frutta/Frutta fresca;69
Datteri, secchi;Frutta/Frutta secca;305
Fichi, secchi;Frutta/Frutta secca;273
Prugna, secca;Frutta/Frutta secca;204
Uvetta, secca;Frutta/Frutta secca;321
Maionese;Grassi e oli/Maionese;742
Olio d'oliva;Grassi e oli/Oli;810
Olio di arachidi;Grassi e oli/Oli;810
Olio di canapa;Grassi e oli/Oli;810
Olio di cartamo;Grassi e oli/Oli;810
Olio di colza;Grassi e oli/Oli;810
Olio di girasole HO, raffinato;Grassi e oli/Oli;810
Olio di noce;Grassi e oli/Oli;810
Olio di semi di girasole;Grassi e oli/Oli;810
Olio di semi di lino, spremuto a freddo;Grassi e oli/Oli;810
Olio di semi di mais;Grassi e oli/Oli;810
Olio di semi di zucca;Grassi e oli/Oli;810
Formaggio a pasta dura e semi dura, grasso (in media);Latte e prodotti di latte/Formaggio a pasta dura;397
Gorgonzola;Latte e prodotti di latte/Formaggio a pasta dura;357
Parmigiano;Latte e prodotti di latte/Formaggio a pasta dura;401
Formaggio a pasta molle (in media senza prodotti sgrassati);Latte e prodotti di latte/Formaggio a pasta molle;325
Ricotta;Latte e prodotti di latte/Formaggio fresco e quark;122
Mozzarella;Latte e prodotti di latte/Formaggio fresco e quark;256
Latte parzialmente scremato, pastorizzato;Latte e prodotti di latte/Latte;56
Burro da cucina;Latte e prodotti di latte/Panna e burro;745
Panna intera, pastorizzata;Latte e prodotti di latte/Panna e burro;334
Panna semigrassa, pastorizzata;Latte e prodotti di latte/Panna e burro;274
Yogurt, naturale;Latte e prodotti di latte/Yogurt e latte acidulato;66
Anacardi;Noci, semi e frutti oleosi;593
Arachidi;Noci, semi e frutti oleosi;623
Castagne, crude;Noci, semi e frutti oleosi;210
Mandorle;Noci, semi e frutti oleosi;624
Nocciole;Noci, semi e frutti oleosi;661
Noce di cocco;Noci, semi e frutti oleosi;384
Noce di cocco, secca;Noci, semi e frutti oleosi;681
Noci;Noci, semi e frutti oleosi;709
Oliva, verde, in salamoia, sgocciolata;Noci, semi e frutti oleosi;154
Olive, nere;Noci, semi e frutti oleosi;176
Pinoli;Noci, semi e frutti oleosi;688
Pistacchi;Noci, semi e frutti oleosi;594
Avocado, crudo;Noci, semi e frutti oleosi;144
Fiocchi di avena;Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi;381
Fiocchi di cereali (in media);Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi;348
Cornflakes;Pane, fiocchi e cereali per la prima colazione/Mix di muesli e cereali per la prima colazione;363
Pane (in media);Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria;264
Calamaro, crudo;Pesce/Frutti di mare e crostacei;83
Crostaceo (in media), crudo;Pesce/Frutti di mare e crostacei;75
Gambero, cotto;Pesce/Frutti di mare e crostacei;46
Gambero, crudo;Pesce/Frutti di mare e crostacei;56
Pesce (in media), crudo;Pesce/Pesci di mare;146
Acciuga sott'olio, sgocciolata;Pesce/Pesci di mare;182
Bastoncino di pesce, impanato e prefritto;Pesce/Pesci di mare;230
Merluzzo bianco, crudo;Pesce/Pesci di mare;76
Nasello, crudo;Pesce/Pesci di mare;71
Salmone d'allevamento, crudo;Pesce/Pesci di mare;200
Salmone, affumicato;Pesce/Pesci di mare;167
Tonno, crudo;Pesce/Pesci di mare;149
Tonno, sott'olio, sgocciolato;Pesce/Pesci di mare;186
Surimi;Pesce/Prodotti della pesca;125
Pangrattato;Prodotti a base di cereali, legumi e patate/Farine e amidi;373
Ceci, cotti (senza aggiunta di grassi e sale);Prodotti a base di cereali, legumi e patate/Legumi;127
Fagioli di soia, secchi;Prodotti a base di cereali, legumi e patate/Legumi;399
Fagiolo comune (tutti tipi), seme maturo, cotto;Prodotti a base di cereali, legumi e patate/Legumi;111
Legumi (in media), cotti;Prodotti a base di cereali, legumi e patate/Legumi;127
Legumi (in media), secchi;Prodotti a base di cereali, legumi e patate/Legumi;336
Lenticchia, decorticata, secca;Prodotti a base di cereali, legumi e patate/Legumi;334
Lenticchie, intere, secche;Prodotti a base di cereali, legumi e patate/Legumi;324
Pasta all'uovo, secca;Prodotti a base di cereali, legumi e patate/Pasta;365
Pasta, secca;Prodotti a base di cereali, legumi e patate/Pasta;353
Patata dolce, cruda;Prodotti a base di cereali, legumi e patate/Patate;81
Patate, pelate, crude;Prodotti a base di cereali, legumi e patate/Patate;76
Riso tipo parboiled, secco;Prodotti a base di cereali, legumi e patate/Riso;356
Cotto;Prodotti carnei e insaccati/Insaccati cotti;93
Prosciutto cotto;Prodotti carnei e insaccati/Insaccati cotti;104
Bresaola;Prodotti carnei e insaccati/Insaccati crudi;167
Pancetta;Prodotti carnei e insaccati/Insaccati crudi;467
Prosciutto crudo;Prodotti carnei e insaccati/Insaccati crudi;229
Salsiccia cruda (in media);Prodotti carnei e insaccati/Insaccati crudi;456
Affettato (in media);Prodotti carnei e insaccati/Salsicce scottate;276
Mortadella;Prodotti carnei e insaccati/Salsicce scottate;314
Albume d'uovo, crudo;Uova;44
Tuorlo d'uovo, crudo;Uova;349
